d,s,m,param_count
160,64,9,371137
160,68,3,164753
160,68,6,290009
160,68,9,415265
160,72,3,181185
160,72,6,321585
160,72,9,461985
160,76,3,198481
160,76,6,354889
160,76,9,511297
160,80,3,216641
160,80,6,389921
160,80,9,563201
160,84,3,235665
160,84,6,426681
160,84,9,617697
160,88,3,255553
160,88,6,465169
160,88,9,674785
160,92,3,276305
160,92,6,505385
160,92,9,734465
160,96,3,297921
160,96,6,547329
160,96,9,796737
160,100,3,320401
160,100,6,591001
160,100,9,861601
160,104,3,343745
160,104,6,636401
160,104,9,929057
160,108,3,367953
160,108,6,683529
160,108,9,999105
160,112,3,393025
160,112,6,732385
160,112,9,1071745
160,116,3,418961
160,116,6,782969
160,116,9,1146977
160,120,3,445761
160,120,6,835281
160,120,9,1224801
160,124,3,473425
160,124,6,889321
160,124,9,1305217
168,4,3,20289
168,8,3,22961
168,8,6,24737
168,12,3,26497
168,12,6,30457
168,12,9,34417
168,16,3,30897
168,16,6,37905
168,16,9,44913
168,20,3,36161
168,20,6,47081
168,20,9,58001
168,24,3,42289
168,24,6,57985
168,24,9,73681
168,28,3,49281
168,28,6,70617
168,28,9,91953
168,32,3,57137
168,32,6,84977
168,32,9,112817
168,36,3,65857
168,36,6,101065
168,36,9,136273
168,40,3,75441
168,40,6,118881
168,40,9,162321
168,44,3,85889
168,44,6,138425
168,44,9,190961
168,48,3,97201
168,48,6,159697
168,48,9,222193
168,52,3,109377
168,52,6,182697
168,52,9,256017
168,56,3,122417
168,56,6,207425
168,56,9,292433
168,60,3,136321
168,60,6,233881
168,60,9,331441
168,64,3,151089
168,64,6,262065
168,64,9,373041
168,68,3,166721
168,68,6,291977
168,68,9,417233
168,72,3,183217
168,72,6,323617
168,72,9,464017
168,76,3,200577
168,76,6,356985
168,76,9,513393
168,80,3,218801
168,80,6,392081
168,80,9,565361
168,84,3,237889
168,84,6,428905
168,84,9,619921
168,88,3,257841
168,88,6,467457
168,88,9,677073
168,92,3,278657
168,92,6,507737
168,92,9,736817
168,96,3,300337
168,96,6,549745
168,96,9,799153
168,100,3,322881
168,100,6,593481
168,100,9,864081
168,104,3,346289
168,104,6,638945
168,104,9,931601
168,108,3,370561
168,108,6,686137
168,108,9,1001713
168,112,3,395697
168,112,6,735057
168,112,9,1074417
168,116,3,421697
168,116,6,785705
168,116,9,1149713
168,120,3,448561
168,120,6,838081
168,120,9,1227601
168,124,3,476289
168,124,6,892185
168,124,9,1308081
176,4,3,21233
176,8,3,23969
176,8,6,25745
176,12,3,27569
176,12,6,31529
176,12,9,35489
176,16,3,32033
176,16,6,39041
176,16,9,46049
176,20,3,37361
176,20,6,48281
176,20,9,59201
176,24,3,43553
176,24,6,59249
176,24,9,74945
176,28,3,50609
176,28,6,71945
176,28,9,93281
176,32,3,58529
176,32,6,86369
176,32,9,114209
176,36,3,67313
176,36,6,102521
176,36,9,137729
176,40,3,76961
176,40,6,120401
176,40,9,163841
176,44,3,87473
176,44,6,140009
176,44,9,192545
176,48,3,98849
176,48,6,161345
176,48,9,223841
176,52,3,111089
176,52,6,184409
176,52,9,257729
176,56,3,124193
176,56,6,209201
176,56,9,294209
176,60,3,138161
176,60,6,235721
176,60,9,333281
176,64,3,152993
176,64,6,263969
176,64,9,374945
176,68,3,168689
176,68,6,293945
176,68,9,419201
176,72,3,185249
176,72,6,325649
176,72,9,466049
176,76,3,202673
176,76,6,359081
176,76,9,515489
176,80,3,220961
176,80,6,394241
176,80,9,567521
176,84,3,240113
176,84,6,431129
176,84,9,622145
176,88,3,260129
176,88,6,469745
176,88,9,679361
176,92,3,281009
176,92,6,510089
176,92,9,739169
176,96,3,302753
176,96,6,552161
176,96,9,801569
176,100,3,325361
176,100,6,595961
176,100,9,866561
176,104,3,348833
176,104,6,641489
176,104,9,934145
176,108,3,373169
176,108,6,688745
176,108,9,1004321
176,112,3,398369
176,112,6,737729
176,112,9,1077089
176,116,3,424433
176,116,6,788441
176,116,9,1152449
176,120,3,451361
176,120,6,840881
176,120,9,1230401
176,124,3,479153
176,124,6,895049
184,4,3,22177
184,8,3,24977
184,8,6,26753
184,12,3,28641
184,12,6,32601
184,12,9,36561
184,16,3,33169
184,16,6,40177
184,16,9,47185
184,20,3,38561
184,20,6,49481
184,20,9,60401
184,24,3,44817
184,24,6,60513
184,24,9,76209
184,28,3,51937
184,28,6,73273
184,28,9,94609
184,32,3,59921
184,32,6,87761
184,32,9,115601
184,36,3,68769
184,36,6,103977
184,36,9,139185
184,40,3,78481
184,40,6,121921
184,40,9,165361
184,44,3,89057
184,44,6,141593
184,44,9,194129
184,48,3,100497
184,48,6,162993
184,48,9,225489
184,52,3,112801
184,52,6,186121
184,52,9,259441
184,56,3,125969
184,56,6,210977
184,56,9,295985
184,60,3,140001
184,60,6,237561
184,60,9,335121
184,64,3,154897
184,64,6,265873
184,64,9,376849
184,68,3,170657
184,68,6,295913
184,68,9,421169
184,72,3,187281
184,72,6,327681
184,72,9,468081
184,76,3,204769
184,76,6,361177
184,76,9,517585
184,80,3,223121
184,80,6,396401
184,80,9,569681
184,84,3,242337
184,84,6,433353
184,84,9,624369
184,88,3,262417
184,88,6,472033
184,88,9,681649
184,92,3,283361
184,92,6,512441
184,92,9,741521
184,96,3,305169
184,96,6,554577
184,96,9,803985
184,100,3,327841
184,100,6,598441
184,100,9,869041
184,104,3,351377
184,104,6,644033
184,104,9,936689
184,108,3,375777
184,108,6,691353
184,108,9,1006929
184,112,3,401041
184,112,6,740401
184,112,9,1079761
184,116,3,427169
184,116,6,791177
184,116,9,1155185
184,120,3,454161
184,120,6,843681
184,120,9,1233201
184,124,3,482017
184,124,6,897913
